행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수,인구_65-69,인구_70-74,인구_75-79,인구_80-84,인구_85이상,인구_60대,인구_70대,인구_80세이상,비율_65-69세,비율_70-74세,비율_75-79세,비율_80-84세,비율_85세이상,비율_70대,비율_80세이상,요양수요가속도
1111051500,청운효자동,종로구,종로구,2023,11605,2144,18.47,641.0,448.0,29.9,0.0,8,0.961,5.523,2144.0,0.42,1.27,302.5422,1.6497,605,471,446,364,257,605,917,622,28.23,21.98,20.81,16.99,11.99,42.77,29.01,35.82
1111053000,사직동,종로구,종로구,2023,9120,1808,19.82,556.0,1822.0,30.75,2.0,8,0.961,6.095,602.67,1.04,1.2917,212.3085,1.6889,528,357,329,319,274,528,686,594,29.22,19.76,18.21,17.65,15.16,37.94,32.85,-24.336
1111054000,삼청동,종로구,종로구,2023,2322,589,25.37,193.0,167.0,32.77,1.0,8,0.961,8.314,294.5,0.67,1.2786,75.3095,1.6976,173,132,108,91,84,173,240,176,29.42,22.45,18.37,15.48,14.29,40.75,29.88,14.47
1111055000,부암동,종로구,종로구,2023,9178,1825,19.88,458.0,331.0,25.1,0.0,8,0.961,4.99,1825.0,0.94,1.2637,256.2503,1.5809,594,382,355,270,222,594,737,494,32.58,20.95,19.47,14.81,12.18,40.38,27.07,32.48
1111056000,평창동,종로구,종로구,2023,17602,3510,19.94,834.0,649.0,23.76,1.0,8,0.961,4.738,1755.0,0.94,1.2657,444.2607,1.5664,1206,732,616,491,459,1206,1348,956,34.42,20.89,17.58,14.01,13.1,38.4,27.24,25.08
1111057000,무악동,종로구,종로구,2023,8019,1483,18.49,436.0,236.0,29.4,1.0,8,0.961,5.436,741.5,0.96,1.2558,186.2351,1.625,469,331,258,271,151,469,589,425,31.69,22.36,17.43,18.31,10.2,39.72,28.66,61.38
1111058000,교남동,종로구,종로구,2023,9783,1649,16.86,577.0,346.0,34.99,2.0,8,0.961,5.899,549.67,0.58,1.2475,187.0116,1.684,539,401,300,248,161,539,701,409,32.69,24.32,18.19,15.04,9.76,42.51,24.8,51.14
1111060000,가회동,종로구,종로구,2023,3969,842,21.21,251.0,196.0,29.81,0.0,8,0.961,6.323,842.0,-0.03,1.2702,118.8343,1.6488,225,191,188,137,101,225,379,238,26.72,22.68,22.33,16.27,12.0,45.01,28.27,24.73
1111061500,종로1.2.3.4가동,종로구,종로구,2023,6760,1733,25.64,1489.0,949.0,85.92,3.0,8,0.961,22.03,433.25,-1.02,1.2404,179.1344,2.3062,609,388,325,256,154,609,713,411,35.16,22.4,18.76,14.78,8.89,41.14,23.72,45.05
1111063000,종로5.6가동,종로구,종로구,2023,5396,1066,19.76,616.0,401.0,57.79,0.0,8,0.961,11.419,1066.0,-0.94,1.2491,147.949,1.971,319,247,231,171,98,319,478,269,29.92,23.17,21.67,16.04,9.19,44.84,25.23,42.93
1111064000,이화동,종로구,종로구,2023,7096,1353,19.07,601.0,353.0,44.42,3.0,8,0.961,8.471,338.25,0.3,1.2655,142.6851,1.8276,408,319,246,219,161,408,565,380,30.16,23.58,18.18,16.19,11.9,41.76,28.09,53.21
1111065000,혜화동,종로구,종로구,2023,16197,2675,16.52,846.0,600.0,31.63,0.0,8,0.961,5.225,2675.0,0.02,1.2774,379.6717,1.6814,739,567,544,482,341,739,1111,825,27.65,21.21,20.35,18.03,12.76,41.53,30.84,34.36
1111067000,창신제1동,종로구,종로구,2023,4637,1180,25.45,813.0,497.0,68.9,1.0,8,0.961,17.535,590.0,0.15,1.2356,145.8008,2.0869,427,269,205,185,94,427,474,279,36.19,22.8,17.37,15.68,7.97,40.17,23.64,49.21
